time,signal
0.000000000000000000e+00,-1.450616249544927627e-01
1.000500250125062459e-03,6.543284533952196114e-01
2.001000500250124919e-03,1.822374069723569745e+00
3.001500750375187161e-03,1.717264903594928338e+00
4.002001000500249837e-03,2.305654425405299968e+00
5.002501250625312514e-03,1.176754355612825043e+00
6.003001500750374322e-03,7.372010469994212389e-01
7.003501750875436999e-03,4.358343990448397265e-01
8.004002001000499675e-03,8.190759141975991753e-01
9.004502251125562351e-03,5.440391772999355613e-01
1.000500250125062503e-02,1.105301296773183672e+00
1.100550275137568770e-02,4.502723010865944953e-01
1.200600300150074864e-02,-3.910878048927607376e-02
1.300650325162581132e-02,8.141504712936599164e-01
1.400700350175087400e-02,-2.085350779674088884e-02
1.500750375187593667e-02,-5.181893583995429431e-01
1.600800400200099935e-02,-8.364513955133472400e-01
1.700850425212606029e-02,-3.017827944105780369e-01
1.800900450225112470e-02,-1.423635712988411406e-01
1.900950475237618564e-02,-6.137839986154564054e-01
2.001000500250125005e-02,-1.467102970231768388e-01
2.101050525262631100e-02,1.752673471701292618e-01
2.201100550275137541e-02,1.440618920358844646e+00
2.301150575287643635e-02,2.350399155669445683e+00
2.401200600300149729e-02,2.231637324450882698e+00
2.501250625312656170e-02,2.007420759460331716e+00
2.601300650325162264e-02,2.056986546210163969e+00
2.701350675337668705e-02,1.888927937277339097e+00
2.801400700350174799e-02,1.520238239068454122e+00
2.901450725362681241e-02,1.610641286809100237e+00
3.001500750375187335e-02,8.034125874854440852e-01
3.101550775387693776e-02,9.949809819086979923e-01
3.201600800400199870e-02,1.731038289877901981e-01
3.301650825412705964e-02,-2.651285225984729155e-01
3.401700850425212058e-02,6.796063910735927749e-02
3.501750875437718846e-02,-6.949186868654207150e-02
3.601800900450224940e-02,2.627743091416946952e-01
3.701850925462731035e-02,-2.737470993430608512e-01
3.801900950475237129e-02,-1.087090102327260777e+00
3.901950975487743917e-02,-9.992846676350520818e-01
4.002001000500250011e-02,-1.017752907445134802e+00
